"filename", "language", "Dart", "JSON", "comment", "blank", "total"
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/application/favorites/get_favorites_usecase.dart", "Dart", 7, 0, 5, 4, 16
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/application/favorites/toggle_favorite_usecase.dart", "Dart", 15, 0, 5, 4, 24
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/application/preferences/get_preferences_usecase.dart", "Dart", 7, 0, 5, 4, 16
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/application/preferences/save_preferences_usecase.dart", "Dart", 8, 0, 5, 4, 17
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/application/preferences/update_darkmode_preferences_usecase.dart", "Dart", 15, 0, 6, 5, 26
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/application/preferences/update_fontscale_usecase.dart", "Dart", 15, 0, 6, 5, 26
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/application/preferences/update_locale_usecase.dart", "Dart", 15, 0, 6, 5, 26
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/application/quotes/get_crypto_quotes_usecase.dart", "Dart", 7, 0, 5, 4, 16
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/application/quotes/get_klines_usecase.dart", "Dart", 11, 0, 6, 4, 21
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/core/l10n/app_en.arb", "JSON", 0, 63, 0, 0, 63
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/core/l10n/app_es.arb", "JSON", 0, 63, 0, 0, 63
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/core/l10n/app_pt.arb", "JSON", 0, 63, 0, 0, 63
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/core/l10n/generated/app_localizations.dart", "Dart", 74, 0, 124, 31, 229
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/core/l10n/generated/app_localizations_en.dart", "Dart", 35, 0, 3, 18, 56
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/core/l10n/generated/app_localizations_es.dart", "Dart", 35, 0, 3, 18, 56
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/core/l10n/generated/app_localizations_pt.dart", "Dart", 35, 0, 3, 18, 56
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/core/routes/auto_route.dart", "Dart", 19, 0, 3, 5, 27
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/core/theme/app_colors.dart", "Dart", 16, 0, 21, 14, 51
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/core/theme/app_theme.dart", "Dart", 30, 0, 4, 3, 37
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/data/data_objects/crypto_quote_dto.dart", "Dart", 82, 0, 27, 25, 134
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/data/data_objects/kline_dto.dart", "Dart", 41, 0, 18, 12, 71
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/data/data_objects/preferences_dao.dart", "Dart", 17, 0, 9, 6, 32
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/data/data_sources/crypto_quotes_datasource.dart", "Dart", 39, 0, 6, 5, 50
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/data/data_sources/favorites_datasource.dart", "Dart", 11, 0, 8, 7, 26
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/data/data_sources/kline_datasource.dart", "Dart", 33, 0, 5, 4, 42
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/data/data_sources/preferences_datasource.dart", "Dart", 29, 0, 7, 5, 41
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/data/repositories_impl/crypto_quotes_repository_impl.dart", "Dart", 31, 0, 4, 5, 40
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/data/repositories_impl/favorites_repository_impl.dart", "Dart", 22, 0, 5, 6, 33
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/data/repositories_impl/kline_repository_impl.dart", "Dart", 21, 0, 4, 4, 29
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/data/repositories_impl/preferences_repository_impl.dart", "Dart", 20, 0, 4, 5, 29
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/domain/entities/crypto_quote_entity.dart", "Dart", 20, 0, 13, 9, 42
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/domain/entities/favorite_entity.dart", "Dart", 4, 0, 4, 2, 10
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/domain/entities/kline_entity.dart", "Dart", 20, 0, 11, 9, 40
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/domain/entities/preferences_entity.dart", "Dart", 21, 0, 10, 6, 37
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/domain/repositories/crypto_quotes_repository_interface.dart", "Dart", 5, 0, 1, 2, 8
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/domain/repositories/favorites_repository_interface.dart", "Dart", 6, 0, 1, 2, 9
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/domain/repositories/kline_repository_interface.dart", "Dart", 8, 0, 1, 2, 11
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/domain/repositories/preferences_repository_interface.dart", "Dart", 5, 0, 1, 2, 8
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/infrastructure/api_client/api_client_constants.dart", "Dart", 5, 0, 4, 3, 12
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/infrastructure/api_client/api_client_interface.dart", "Dart", 14, 0, 0, 3, 17
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/infrastructure/api_client/dio/dio_impl.dart", "Dart", 99, 0, 1, 10, 110
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/infrastructure/api_client/models/api_route.dart", "Dart", 6, 0, 1, 3, 10
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/infrastructure/api_client/models/http_methods.dart", "Dart", 7, 0, 6, 5, 18
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/infrastructure/storage/shared_preferences/shared_preferences_impl.dart", "Dart", 118, 0, 1, 12, 131
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/infrastructure/storage/storage_interface.dart", "Dart", 23, 0, 0, 3, 26
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/main.dart", "Dart", 158, 0, 6, 14, 178
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/providers/crypto_quote/crypto_quote_notifier.dart", "Dart", 25, 0, 1, 6, 32
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/providers/crypto_quote/crypto_quote_state.dart", "Dart", 18, 0, 1, 6, 25
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/providers/favorites/favorites_notifier.dart", "Dart", 47, 0, 1, 8, 56
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/providers/favorites/favorites_state.dart", "Dart", 18, 0, 1, 6, 25
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/providers/klines/kline_notifier.dart", "Dart", 38, 0, 0, 8, 46
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/providers/klines/kline_state.dart", "Dart", 18, 0, 1, 6, 25
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/providers/preferences/preferences_notifier.dart", "Dart", 63, 0, 1, 9, 73
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/providers/preferences/preferences_state.dart", "Dart", 18, 0, 1, 6, 25
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/screens/detail/detail_screen.dart", "Dart", 271, 0, 4, 22, 297
